review_id,review_year,review_date,date_display,rating,review_text,attribution,source_label,featured
2026-002,2026,2026-03-08,"March 8, 2026",5,The course was extremely helpful since the work area utilizes scrum and kanban frameworks.,,Direct feedback,yes
2026-001,2026,2026-07-14,"July 14, 2026",5,Marcelo was a great instructor. Very upbeat and knowledgeable. Taking the class helped me understand Scrum so much better than before. Would highly recommend him as an instructor.,,Direct feedback,no
2025-005,2025,2025-02-11,"February 11, 2025",5,"What I appreciated most was his ability to connect Scrum principles to practical scenarios, helping us understand how to apply them effectively within teams and organizations. He created a supportive learning environment where questions were encouraged, discussions were meaningful, and learning felt collaborative. This bootcamp significantly strengthened my understanding of the Scrum framework and the role of a Scrum Master. I highly recommend this training to anyone looking to deepen their Agile knowledge or prepare for a Scrum Master role. It was truly a fantastic learning experience.",,Direct feedback,yes
2025-004,2025,2025-02-11,"February 11, 2025",5,"I recently completed the Scrum Master Bootcamp with Professor Trainer Marcelo Lopez, and it was an outstanding experience. Marcelo has an exceptional ability to explain Agile and Scrum concepts in a way that is both clear and engaging. He breaks down complex topics into practical, easy-to-understand components, making it simple to grasp not just the theory but also the real-world application. His teaching style is dynamic, structured, and highly interactive, which kept the sessions engaging from start to finish.",,Direct feedback,yes
2025-003,2025,2025-06-04,"June 4, 2025",5,"The 2-day course is well structured, timed appropriately and promotes collaboration and teamwork amongst the course attendees, in lieu of direct facilitation from the instructor. Our instructor, Marcelo, is deeply knowledgeable in the subject material and regularly used actual examples from his past experience to bring the concepts to life. This practice made the material easier to digest and understand. I would recommend this course to anyone looking to obtain the CSM certification.",,Direct feedback,yes
2025-002,2025,2025-11-19,"November 19, 2025",5,"Absolutely worth the time, effort, and cost.. Instructor Lopez was super informative and insightful about the content and how to apply context in day to day application.",,Direct feedback,yes
2025-001,2025,2025-12-01,"December 1, 2025",5,They went above and beyond any expected accommodations to help me complete my A-CSM certification. Outstanding customer support. Huge props to Kayla!,Maksim R.,Online review,yes
2024-005,2024,2024-04-03,"April 3, 2024",5,Marcelo was an amazing instructor. Both professional and lively. He was very patient with me during some technical difficulties early in the course and luckily he had pre-planned work arounds to handle these types of situations. I would highly recommend anyone looking to take a course from him. The time and value is well worth the cost.,,Direct feedback,yes
2024-004,2024,2024-07-16,"July 16, 2024",5,"The course content was fantastic. Marcelo’s knowledge, energy and enthusiasm is contagious! I recommend him highly!!! He is truly the best",,Direct feedback,yes
2024-003,2024,2024-10-22,"October 22, 2024",5,"Marcelo is an incredible instructor!!! He was very patient, informative, and demonstrated a clear passion, both for the material, as well as for his students. He provided excellent instruction, thought-provoking exercises, and detailed notes in a very clear format to be able to keep as a reference after the class had concluded.",,Direct feedback,yes
